"Id","Age","Practice","Instrument","Apprentissage","Difficult√©s","Aide","StyleMusic","Int√©r√™ts","Projet","Accompagnement","CoursEnLigne","Avantages","Difficult√©sLearn","Int√©r√™tFormationEnLigne","RemarqueSuppl√©mentaire","TypeInstrument"
"78","18","Je joue régulièrement","Piano","Oui","Problèmes de douleurs chroniques ","Plus de sensibilisation dans les école de musique pour éviter à ceux qui commencent de se retrouver dans la même situation, pourquoi pas des ateliers de comment gérer la pratique de l'instrument/ comment intégrer le sport à partir d'un certain niveau musical pour éviter les blessures etc... ","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public","Pas sûre de comprendre la question","Oui, et cela m’a aidé","Accessibilité (gratuit), disponible quand on veut ","Gros gap entre les vidéos pour débutants et vidéos pour experts, dur de trouver des choses adaptées","Oui, mais cela dépendrait du prix","Nop","1"
"79","30","Je joue de temps en temps (sans vraie régularité)","Chant","Non","","","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public","Une bourse","Non, et cela ne m’intéresse pas","","","","Pas de limitation d âge ","4"
"80","18","J’ai pratiqué par le passé, mais j’ai arrêté","Piano, Guitare électrique","Oui","Concentration et discipline ","Très bonne question","Peu importe le changement c’est bien :)","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Composer mes propres morceaux","","Oui, et cela m’a aidé","On peut apprendre à notre rythme et on visualise bien comment l’autre joue ","Si il n’y a pas de partition: comprendre quelle note est en jeu","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","Perso je faisais toujours par cœur ayant beaucoup de peine à rester concentrée. Je faisait semblant de lire les partitions pendant les cours et ça m’a freiné dans mes capacités… alors peut être insister sur la nécessité de savoir lire des partitions :) ","1"
"81","60","J’ai pratiqué par le passé, mais j’ai arrêté","Saxophone","Oui","Régularité ","Un professeur ","Musique Classique;Jazz/Blues","Apprendre des morceaux (lecture)","Jouer pour moi","","Non, et cela ne m’intéresse pas","","","","","2"
"82","30","Je joue de temps en temps (sans vraie régularité)","Violoncelle, Piano, Guitare","Oui","Temps, motivation, manque de facilité^^","Diminuer mon activité professionnelle","Musique Classique;Rock/Pop;Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Faire des reprises de morceaux;M'accompagner pour composer mes propres chansons","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique","Un programme avec progression rapide pour garder la motivation","Non, et cela ne m’intéresse pas","","","","C'est dur de commencer un instrument de zéro quand on en joue d'un autre depuis l'enfance. On a des exigences et de l'impatience.","1"
"83","60","Je joue régulièrement","Guitare, Piano","Oui","Mémoire dû à l'âge et parfois motivation.","La répétition régulière. Avoir un coach. Ma volonté. Mes progrès et le plaisir.","Accompagnements chansons françaises","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Me faire plaisir. Maintenir les bonnes connections de mon cerveau.mon cerveau  ","Un coach ""ouvert"" à mes envies","Oui, et cela m’a aidé","Avancer à mon rythme","La volonté. Les réponses à mes questions immédiates","Non, je préfère d’autres types de formation","Chaque fois que j'ai un souci et que je peux jouer, il s'envole. Cela me fait beaucoup de bien. Donc ma bonne santé s'en ressent positivement.","1"
"84","30","J’ai pratiqué par le passé, mais j’ai arrêté","Guitare électrique","Oui","Motivation et temps ","Avoir suffisamment de temps libre pour m’y intéresser de nouveau ","Rock/Pop;Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Composer mes propres morceaux","","Oui, et cela m’a aidé","Contenu et interactivité ","Ne pas avoir de retour ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"85","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Piano, Violon","Oui","motivation, difficulté d'apprentissage de la lecture des notes","apprendre différement","Musique Classique;Musiques électroniques;variété","Apprendre des morceaux (lecture)","jouer pour moi","un super bon enseignant ","Non, mais j'aimerais essayer","","","Oui, mais cela dépendrait du prix","pas comme ça","1"
"86","45","Je joue régulièrement","Ténor, Horn","Non","","","Brass Band","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer en groupe ou en public","","Non, et cela ne m’intéresse pas","","","","Toutes questions est bienvenue. Je partage volontiers ma mince expérience.","Chant, 3"
"87","30","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"88","17","Je joue régulièrement","Piano","Non","","","Jazz/Blues;Metal/Punk","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public;Composer mes propres morceaux","Technique et ecoute","Non, et cela ne m’intéresse pas","","","","","1"
"89","30","J’ai pratiqué par le passé, mais j’ai arrêté","Violon ","Non","","","Jazz/Blues","Apprendre des morceaux (lecture)","Composer mes propres morceaux","Le plaisir ","Non, et cela ne m’intéresse pas","","","","Je n’ai pas aimé l’enseignant trop académique ","1"
"90","30","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Oui","Temps et manque de compétences en improvisation/jeu libre car apprentissage du piano classique sur partitions","Retrouver des partitions simples rapidement déchiffrables. Me lancer dans le jeu libre spontané ","Musique Classique;Jazz/Blues;Rock/Pop","Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer à la maison/ en famille","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"91","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Piano, Guitare","Oui","Temps","Avoir plus de temps","Musique Classique;Jazz/Blues;Rock/Pop;Metal/Punk;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux","Prof","Oui, et cela m’a aidé","Je n'ai pas compris la qu'est ","???","Oui, absolument","","1"
"92","30","Je joue régulièrement","Violin, Guitare ","Oui","Manque de confiance ","Plus je créer des opportunités pour jouer sortir de la zone de confort mieux c’est ","Musique Classique;Jazz/Blues;Musiques du monde","Improvisation","Jouer en groupe ou en public","","Oui, et cela m’a aidé","Le fait de pouvoir revenir dessus, on comprends les choses différemment selon le stade ou l’on est…","Pas de difficultés spécifiques ","Oui, absolument","","1"
"93","45","Je joue de temps en temps (sans vraie régularité)","Synthétiseur ","Non","","","Musiques électroniques","Faire des reprises de morceaux","Jouer en groupe ou en public","","Oui, et cela m’a aidé","Contenu","Clarté ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"94","45","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Piano","Non","","","Jazz/Blues","Apprendre des morceaux (lecture)","Composer mes propres morceaux","","Non, mais j'aimerais essayer","","","Oui, mais cela dépendrait du prix","","1"
"95","30","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Guitare","Oui","Temps, motivation","Plus de temps libre, moins de travail","Hip-hop/Rap/R&B;Metal/Punk","Improvisation","Composer mes propres morceaux","","Oui, mais ce n’était pas adapté à mon fonctionnement","","Vouloir aller trop vite, sauter les bases etc (trop de liberté)","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"96","18","Je joue régulièrement","Piano, Violon","Oui","Motivation mais aussi gérer avec les études","La détermination ","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Le fait de pouvoir mettre ses émotions sur la table","Jouer en concert","","Non, et cela ne m’intéresse pas","","","","","1"
"97","60","Je joue de temps en temps (sans vraie régularité)","Guitare","Oui","Manque de temps","Prioriser le temps","Rock/Pop","Apprendre des morceaux (lecture);Faire des reprises de morceaux","Je jouai pour le plaisir","Le faite à plusieurs ","Oui, et cela m’a aidé","Possibilité de répéter plusieurs fois les séquences ","Néant ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","J’ai aussi suivi des cours avec un prof en live","1"
"98","18","Je ne joue pas (je n'ai jamais joué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
"99","18","Je joue de temps en temps (sans vraie régularité)","Violon","Oui","Motivation, rigueur","Jouer en groupe","Musique Classique;Jazz/Blues;Metal/Punk;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Faire des reprises de morceaux","Jouer en groupe ou en public","","Non, et cela ne m’intéresse pas","","","","","1"
"100","45","J’ai pratiqué par le passé, mais j’ai arrêté","Violon, Chants","Oui","Trouver du temps, trouver des gens avec qui jouer ou chanter","Avoir une liste des ensembles musicaux, des écoles de musique et des profs privés etc . existants dans ma région ","Musique Classique;Jazz/Blues;Rock/Pop;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public","Je ne comprends pas cette question ","Non, et cela ne m’intéresse pas","","","","","1, 4"
"101","30","J’ai pratiqué par le passé, mais j’ai arrêté","Thérémine","Oui","temps, voisinage","ne sais pas","Musique Classique;Reggae/Ska;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument);Improvisation","Composer mes propres morceaux","ne sais pas","Oui, mais ce n’était pas adapté à mon fonctionnement","","clarté des informations","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","non","5"
"102","18","Je n’ai jamais joué, mais j’aimerais apprendre (ou j'ai très peu joué et j'aimerais reprendre)","Guitare","Oui","Temps, concentration et motivation ","Le temps et les techniques ","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Reggae/Ska;Funk/Soul;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Faire des reprises de morceaux","Créer des vidéos musicales (clips, se filmer en jouant)","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"103","18","Je joue régulièrement","Guitare, Piano.","Non","","","Musique Classique;Jazz/Blues;Chanson à texte ","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture)","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Donner des cours de musique","Des cours en présentiel chaque semaine ","Oui, et cela m’a aidé","Pouvoir avancer à mon rythme, avoir accès aux ressources à n'importe quel moment, adapter les propositions données dans le cours à mon mode de fonctionnement sans vexer le prof...","On ne trouve pas tout, ou pas forcément de bonne qualité (je n'ai rien trouvé de satisfaisant pour le flamenco, par exemple), et puis sans doute que pour acquérir de bonnes bases, c'est mieux avec un prof qui puisse corriger la position et les quelques mauvaise habitudes à ne pas prendre au départ.","Oui, mais cela dépendrait du prix","","1"
"104","30","Je joue de temps en temps (sans vraie régularité)","Guitare","Oui","Manque de patience et rigidité des doigts ","L entraînement ","Rock/Pop;Reggae/Ska","Techniques de jeu (maîtrise de l’instrument)","Composer mes propres morceaux","Je ne comprend pas bien la question","Oui, et cela m’a aidé","En libre service et gratuit ","Pas toujours facile de trouver de bons pédagogues en ligne ","Non, je préfère d’autres types de formation","Je suis aujourd'hui plus motivée à m offrir des cours privés ","1"
"105","30","J’ai pratiqué par le passé, mais j’ai arrêté","Basse","Oui","Coût financier, organisation","Avoir plus de temps libre et plus d'argent ou des aides financières pour cela.","Rock/Pop;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Donner des cours de musique","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"106","30","Je joue régulièrement","Basse, Guitare","Oui","concentration, discipline/régularité à la maison","les deadlines imminentes. m'être engagé auprès d'autres musiciens.","Metal/Punk","Compréhension musicale (rythme, harmonie, théorie, solfège);faires des concerts","Jouer en groupe ou en public","","Oui, et cela m’a aidé","disponibilité, accessibilité, variété diverse (Youtube)","mise en pratique des informations données","Non, je préfère d’autres types de formation","","1"
"107","30","Je joue régulièrement","Violoncelle","Oui","Manque de temps pour répéter, difficulté à produire un joli son ou à réaliser certaines partitions ou mesures,","Un professeur, des représentations","Musique Classique;Rock/Pop;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public","Un cours individuel + un cours de groupe hebdomadaires","Non, et cela ne m’intéresse pas","","","","","1"
"108","60","Je joue régulièrement","Violoncelle","Oui","La difficulté de ce magnifique instrument à cordes !","La persévérance et les cours ","Musique Classique;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Apprendre des morceaux (lecture)","Jouer en groupe ou en public","Difficile de répondre. Mais certainement des cours réguliers.","Non, et cela ne m’intéresse pas","","","","Que c’est entrer dans un monde génial, exigeant et très motivant !","1"
"109","30","Je joue régulièrement","Contrebasse, Basse électrique, Piano, Guitare, Violon, Chant, Batterie","Oui","Gestion du temps, régularité ","Jouer chaque jour","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Metal/Punk;Reggae/Ska;Funk/Soul;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Improvisation;Apprendre des morceaux (lecture);Faire des reprises de morceaux","Jouer en groupe ou en public;Composer mes propres morceaux;Enregistrer de la musique;Donner des cours de musique","Maitrise, pédagogie et sympathie","Oui, et cela m’a aidé","Contenu, relevés, doigtés et.","Vitesse, compréhension, adaptation du niveau, pas possible de jouer la musique ensemble","Non, je préfère d’autres types de formation","","1, 4, 3"
"110","45","Je joue régulièrement","Guitare","Oui","Trouver de persone avec qui jouer","Peut être","Jazz/Blues;Hip-hop/Rap/R&B;Rock/Pop;Metal/Punk;Reggae/Ska;Funk/Soul;Musiques électroniques","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Faire des reprises de morceaux","Jouer en groupe ou en public","Une band","Oui, et cela m’a aidé","Pratique","Je ne sais pas","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"111","45","J’ai pratiqué par le passé, mais j’ai arrêté","Violon, Chant","Oui","Temps disponible, peu de solfège ","Des cours en ligne","Musique Classique;Jazz/Blues;Hip-hop/Rap/R&B;Funk/Soul;Musiques du monde","Compréhension musicale (rythme, harmonie, théorie, solfège);Apprendre des morceaux (lecture)","Ne sais pas ","Piano","Non, mais j'aimerais essayer","","","Oui, mais cela dépendrait du prix","","1, 4"